UPRN,Postcode,"Service type","LSOA code","LSOA name","LA code","LA name"
CI_UPRN_1,BN11AE,Unclassified,E01016952,"Regency E01016952",00ML,"Brighton and Hove"
CI_UPRN_2,BN11AE,Unclassified,E01016952,"Regency E01016952",00ML,"Brighton and Hove"
CI_UPRN_3,BN11AE,Unclassified,E01016952,"Regency E01016952",00ML,"Brighton and Hove"
CI_UPRN_4,BN11AE,Unclassified,E01016952,"Regency E01016952",00ML,"Brighton and Hove"
CI_UPRN_5,BN11AF,Unclassified,E01016952,"Regency E01016952",00ML,"Brighton and Hove"
CI_UPRN_6,BN11AF,Unclassified,E01016952,"Regency E01016952",00ML,"Brighton and Hove"
CI_UPRN_7,BN11AF,Unclassified,E01016952,"Regency E01016952",00ML,"Brighton and Hove"
CI_UPRN_8,BN11AF,Unclassified,E01016952,"Regency E01016952",00ML,"Brighton and Hove"
CI_UPRN_9,BN11AG,Unclassified,E01016952,"Regency E01016952",00ML,"Brighton and Hove"
CI_UPRN_10,BN11AG,Unclassified,E01016952,"Regency E01016952",00ML,"Brighton and Hove"
CI_UPRN_11,BN11AG,Unclassified,E01016952,"Regency E01016952",00ML,"Brighton and Hove"
CI_UPRN_12,BN11AG,Unclassified,E01016952,"Regency E01016952",00ML,"Brighton and Hove"
CI_UPRN_13,BN11AL,Unclassified,E01016952,"Regency E01016952",00ML,"Brighton and Hove"
CI_UPRN_14,BN11EA,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_15,BN11EA,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_16,BN11EE,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_17,BN11EJ,Unclassified,E01016941,"Queen's Park E01016941",00ML,"Brighton and Hove"
CI_UPRN_18,BN11FZ,Unclassified,E01016941,"Queen's Park E01016941",00ML,"Brighton and Hove"
CI_UPRN_19,BN11GE,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_20,BN11GE,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_21,BN11GE,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
CI_UPRN_22,BN11GE,Unclassified,E01016969,"St. Peter's and North Laine E01016969",00ML,"Brighton and Hove"
